id,name_en,name_hi,name_mr,aliases,category,lat,lng,area,desc_en,desc_hi,desc_mr,timings,phone,open24x7,accessible,verified_by,verified_on,verified_source
sahyadri-hospital-nashik,Sahyadri Speciality Hospital,सह्याद्रि स्पेशियलिटी अस्पताल,सह्याद्री स्पेशालिटी हॉस्पिटल,sahyadri|sahyadri hospital|sayadri hospital,hospital,19.989274,73.793482,Dwarka,Private speciality hospital on Wadala Road near Dwarka.,द्वारका के पास वडाला रोड पर निजी स्पेशियलिटी अस्पताल।,द्वारकाजवळ वडाळा रोडवरील खाजगी स्पेशालिटी रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466572199
panchavati-police-station,Panchavati Police Station,पंचवटी पुलिस स्टेशन,पंचवटी पोलीस ठाणे,panchavati police|panchvati police station|police panchavati|panchavati thana,police,20.015493,73.79695,Panchavati,"Main police station for Panchavati, opposite the Krushi Utpanna market.","पंचवटी का मुख्य पुलिस स्टेशन, कृषि उत्पन्न बाजार के सामने।","पंचवटीचे मुख्य पोलीस ठाणे, कृषी उत्पन्न बाजार समितीसमोर.",,0253-2629831,true,,claude-osm,2026-09-16,https://www.mappls.com/5c1d36 (coords; not in OSM) ; https://nashik.gov.in/en/police-stations-urban/
panchavati-karanja-police-chowky,Panchavati Karanja Police Chowky,पंचवटी कारंजा पुलिस चौकी,पंचवटी कारंजा पोलीस चौकी,karanja police|panchavati chowky|police chowki|karanja chowky,police,20.009745,73.794592,Panchavati,"Police outpost at Panchavati Karanja, a few minutes from Ramkund.","पंचवटी कारंजा पर पुलिस चौकी, रामकुंड से कुछ मिनट दूर।","पंचवटी कारंजा येथील पोलीस चौकी, रामकुंडापासून काही मिनिटांवर.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13479578054
sarkarwada-police-station,Sarkarwada Police Station,सरकारवाडा पुलिस स्टेशन,सरकारवाडा पोलीस ठाणे,sarkarwada police|sarkar wada|sarkarwada thana|gangapur road police,police,20.005643,73.779722,City,City police station on Gangapur Road opposite KTHM College.,गंगापुर रोड पर केटीएचएम कॉलेज के सामने शहर पुलिस स्टेशन।,गंगापूर रोडवर केटीएचएम कॉलेजसमोरील पोलीस ठाणे.,,0253-2305214,true,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/2231614174 ; https://nashik.gov.in/en/police-stations-urban/
upnagar-police-station,Upnagar Police Station,उपनगर पुलिस स्टेशन,उपनगर पोलीस ठाणे,upnagar police|upnagar thana|nashik road police|upnagar,police,19.967413,73.822852,Nashik Road,Police station on the Nashik-Pune highway at Upnagar.,उपनगर में नासिक-पुणे हाईवे पर पुलिस स्टेशन।,उपनगर येथे नाशिक-पुणे महामार्गावरील पोलीस ठाणे.,,0253-2415641,true,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/4358920496 ; https://nashik.gov.in/en/police-stations-urban/
wellness-forever-mg-road,Wellness Forever,वेलनेस फॉरएवर,वेलनेस फॉरेव्हर,wellness forever|wellness|welness forever|chemist,chemist,20.006662,73.784878,City,Pharmacy chain store in central Nashik.,मध्य नासिक में दवा दुकान (फ़ार्मेसी चेन)।,मध्य नाशिकमधील औषध दुकान (फार्मसी साखळी).,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/4846719025
raj-medical,Raj Medical,राज मेडिकल,राज मेडिकल,raj medical|raj medicals|raj chemist,chemist,20.004517,73.786988,City,Medical store in central Nashik near Ravivar Peth.,रविवार पेठ के पास मध्य नासिक में मेडिकल स्टोर।,रविवार पेठेजवळ मध्य नाशिकमधील मेडिकल स्टोअर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/3318873509
daulat-medical,Daulat Medical,दौलत मेडिकल,दौलत मेडिकल,daulat medical|doulat medical|daulat chemist,chemist,20.01391,73.788173,Panchavati,"Medical store north of the Godavari, west of Panchavati.","गोदावरी के उत्तर में, पंचवटी के पश्चिम में मेडिकल स्टोर।","गोदावरीच्या उत्तरेस, पंचवटीच्या पश्चिमेस मेडिकल स्टोअर.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/10287146196
ananya-medical-nashik-road,Ananya Medical & General Stores,अनन्या मेडिकल एंड जनरल स्टोर्स,अनन्या मेडिकल अँड जनरल स्टोअर्स,ananya medical|anaya medical|nashik road medical|station chemist,chemist,19.948548,73.841762,Nashik Road,Medical store at Nashik Road railway station.,नासिक रोड रेलवे स्टेशन पर मेडिकल स्टोर।,नाशिक रोड रेल्वे स्थानकावरील मेडिकल स्टोअर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1473410586
toilet-ramkund-west,Public Toilet near Ramkund (west bank),रामकुंड के पास सार्वजनिक शौचालय (पश्चिम किनारा),रामकुंडाजवळ सार्वजनिक शौचालय (पश्चिम काठ),ramkund toilet|toilet ramkund|shauchalay ramkund|washroom ramkund,toilet,20.008023,73.790334,Panchavati,Free public toilet on the Godavari bank near Ramkund.,रामकुंड के पास गोदावरी किनारे मुफ्त सार्वजनिक शौचालय।,रामकुंडाजवळ गोदावरी काठावरील मोफत सार्वजनिक शौचालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13484505836
toilet-balaji-mandir-ghat,Public Toilet near Balaji Mandir ghat,बालाजी मंदिर घाट के पास सार्वजनिक शौचालय,बालाजी मंदिर घाटाजवळ सार्वजनिक शौचालय,ghat toilet|balaji toilet|toilet near ahilyabai bridge|washroom ghat,toilet,20.008902,73.792086,Panchavati,Public toilet on the ghat near Balaji Mandir and Ramkund.,बालाजी मंदिर और रामकुंड के पास घाट पर सार्वजनिक शौचालय।,बालाजी मंदिर आणि रामकुंडाजवळ घाटावरील सार्वजनिक शौचालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1471433401
toilet-nimani-bus-stand,Public Toilet near Nimani Bus Stand,निमाणी बस स्टैंड के पास सार्वजनिक शौचालय,निमाणी बस स्थानकाजवळ सार्वजनिक शौचालय,nimani toilet|toilet nimani|bus stand toilet panchavati,toilet,20.011502,73.796523,Panchavati,Public toilet beside Nimani bus stand in Panchavati.,पंचवटी में निमाणी बस स्टैंड के पास सार्वजनिक शौचालय।,पंचवटीत निमाणी बस स्थानकाजवळ सार्वजनिक शौचालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13475353247
toilet-panchavati-south,"Public Toilet, Panchavati (south of Kalaram Mandir)","सार्वजनिक शौचालय, पंचवटी (कालाराम मंदिर के दक्षिण)","सार्वजनिक शौचालय, पंचवटी (काळाराम मंदिराच्या दक्षिणेस)",panchavati toilet|kalaram toilet|toilet near kalaram,toilet,20.004295,73.794334,Panchavati,Public toilet a short walk south of Kalaram Mandir.,कालाराम मंदिर से थोड़ा दक्षिण में सार्वजनिक शौचालय।,काळाराम मंदिरापासून थोडे दक्षिणेस सार्वजनिक शौचालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/660326541
toilet-trimbakeshwar-temple,Public Toilet near Trimbakeshwar Temple,त्र्यंबकेश्वर मंदिर के पास सार्वजनिक शौचालय,त्र्यंबकेश्वर मंदिराजवळ सार्वजनिक शौचालय,trimbak toilet|toilet trimbakeshwar|temple toilet trimbak|shauchalay trimbak,toilet,19.932649,73.531494,Trimbakeshwar,Public toilet close to the Trimbakeshwar temple.,त्र्यंबकेश्वर मंदिर के पास सार्वजनिक शौचालय।,त्र्यंबकेश्वर मंदिराजवळ सार्वजनिक शौचालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483206113
toilet-nashik-road-station,"Public Toilet, Nashik Road Station","सार्वजनिक शौचालय, नासिक रोड स्टेशन","सार्वजनिक शौचालय, नाशिक रोड स्थानक",station toilet|nashik road toilet|railway toilet,toilet,19.94485,73.841931,Nashik Road,Free toilet at Nashik Road railway station.,नासिक रोड रेलवे स्टेशन पर मुफ्त शौचालय।,नाशिक रोड रेल्वे स्थानकावरील मोफत शौचालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1470387638
toilet-pandavleni,"Public Toilet, Pandavleni","सार्वजनिक शौचालय, पांडवलेणी","सार्वजनिक शौचालय, पांडवलेणी",pandavleni toilet|pandav leni toilet|toilet pandavleni,toilet,19.941202,73.748772,Pathardi,Public toilet at the foot of the Pandavleni caves.,पांडवलेणी गुफाओं के नीचे सार्वजनिक शौचालय।,पांडवलेणीच्या पायथ्याशी सार्वजनिक शौचालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483798851
water-ramkund,Drinking Water near Ramkund,रामकुंड के पास पीने का पानी,रामकुंडाजवळ पिण्याचे पाणी,ramkund water|drinking water ramkund|pani ramkund|water tap ramkund,water,20.008308,73.792443,Panchavati,Drinking water point on the ghat near Ramkund.,रामकुंड के पास घाट पर पीने के पानी की जगह।,रामकुंडाजवळ घाटावर पिण्याच्या पाण्याची सोय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/4849889226
water-trimbakeshwar-temple,Drinking Water near Trimbakeshwar Temple,त्र्यंबकेश्वर मंदिर के पास पीने का पानी,त्र्यंबकेश्वर मंदिराजवळ पिण्याचे पाणी,trimbak water|drinking water trimbak|pani trimbakeshwar,water,19.931886,73.530582,Trimbakeshwar,Drinking water point near the Trimbakeshwar temple.,त्र्यंबकेश्वर मंदिर के पास पीने के पानी की जगह।,त्र्यंबकेश्वर मंदिराजवळ पिण्याच्या पाण्याची सोय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483206112
water-nashik-road-station,"Drinking Water, Nashik Road Station","पीने का पानी, नासिक रोड स्टेशन","पिण्याचे पाणी, नाशिक रोड स्थानक",station water|nashik road water|platform water,water,19.946125,73.841952,Nashik Road,Free drinking water taps on the Nashik Road station platforms.,नासिक रोड स्टेशन प्लेटफॉर्म पर मुफ्त पीने का पानी।,नाशिक रोड स्थानकाच्या फलाटांवर मोफत पिण्याचे पाणी.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13484816626
water-pandavleni,"Drinking Water, Pandavleni","पीने का पानी, पांडवलेणी","पिण्याचे पाणी, पांडवलेणी",pandavleni water|water pandav leni,water,19.941177,73.748785,Pathardi,Drinking water point at the foot of the Pandavleni caves.,पांडवलेणी गुफाओं के नीचे पीने का पानी।,पांडवलेणीच्या पायथ्याशी पिण्याचे पाणी.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483798882
parking-ramkund-south,Parking near Ramkund (south),रामकुंड के पास पार्किंग (दक्षिण),रामकुंडाजवळ पार्किंग (दक्षिण),ramkund parking|parking ramkund|gadi parking panchavati,parking,20.006742,73.79193,Panchavati,Parking area just south of Ramkund.,रामकुंड के ठीक दक्षिण में पार्किंग।,रामकुंडाच्या अगदी दक्षिणेस पार्किंग.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466151425
parking-ramkund-north,Parking near Ramkund (north bank),रामकुंड के पास पार्किंग (उत्तरी किनारा),रामकुंडाजवळ पार्किंग (उत्तर काठ),ghat parking|parking godavari|north bank parking,parking,20.008521,73.79146,Panchavati,Parking area on the Godavari bank near Ramkund.,रामकुंड के पास गोदावरी किनारे पार्किंग।,रामकुंडाजवळ गोदावरी काठावरील पार्किंग.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1471433400
kalidas-kala-mandir-parking,Kalidas Kala Mandir Parking,कालिदास कला मंदिर पार्किंग,कालिदास कलामंदिर पार्किंग,kalidas parking|kalidas kalamandir|shalimar parking,parking,19.999337,73.784672,City,Parking lot at Kalidas Kala Mandir near Shalimar.,शालीमार के पास कालिदास कला मंदिर पार्किंग।,शालिमारजवळील कालिदास कलामंदिर पार्किंग.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/406898492
parking-trimbak-town,"Parking, Trimbak Town","पार्किंग, त्र्यंबक शहर","पार्किंग, त्र्यंबक शहर",trimbak parking|parking trimbakeshwar|temple parking trimbak,parking,19.935679,73.530605,Trimbakeshwar,Parking area in Trimbak town north of the temple.,त्र्यंबक शहर में मंदिर के उत्तर में पार्किंग।,त्र्यंबक शहरात मंदिराच्या उत्तरेस पार्किंग.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/51688225
parking-trimbak-bus-depot,Parking near Trimbakeshwar Bus Depot,त्र्यंबकेश्वर बस डिपो के पास पार्किंग,त्र्यंबकेश्वर बस डेपोजवळ पार्किंग,bus depot parking|trimbak depot parking,parking,19.937169,73.536367,Trimbakeshwar,Parking area next to the Trimbakeshwar bus depot.,त्र्यंबकेश्वर बस डिपो के बगल में पार्किंग।,त्र्यंबकेश्वर बस डेपोशेजारी पार्किंग.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1533201645
nashik-road-railway-station,Nashik Road Railway Station,नासिक रोड रेलवे स्टेशन,नाशिक रोड रेल्वे स्थानक,nashik road station|nasik road|railway station|nashik station|nsk|train station|train|railway|station|rail|ट्रेन|रेलवे स्टेशन|रेल्वे स्थानक,transport,19.948145,73.84129,Nashik Road,Main railway station for Nashik.,"नासिक का मुख्य रेलवे स्टेशन (परिवहन केंद्र, पार्किंग श्रेणी में)।","नाशिकचे मुख्य रेल्वे स्थानक (वाहतूक केंद्र, पार्किंग श्रेणीत).",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/257421924
thakkar-bazar-bus-stand,Thakkar Bazar Bus Stand,ठक्कर बाज़ार बस स्टैंड,ठक्कर बाजार बस स्थानक,thakkar bazar|thakar bazar|thakkar bazaar bus stand|new cbs|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,19.998364,73.780847,City,Major MSRTC bus stand in the city centre.,"शहर के बीच प्रमुख एसटी बस स्टैंड (परिवहन केंद्र, पार्किंग श्रेणी में)।","शहराच्या मध्यभागी मुख्य एसटी बस स्थानक (वाहतूक केंद्र, पार्किंग श्रेणीत).",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/357509884
mahamarg-bus-stand,"Mahamarg Bus Stand, Mumbai Naka","महामार्ग बस स्टैंड, मुंबई नाका","महामार्ग बस स्थानक, मुंबई नाका",mahamarg|mumbai naka bus stand|mahamarg bus stand|highway bus stand|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,19.988042,73.782937,City,MSRTC bus stand at Mumbai Naka.,"मुंबई नाका पर एसटी बस स्टैंड (परिवहन केंद्र, पार्किंग श्रेणी में)।","मुंबई नाका येथील एसटी बस स्थानक (वाहतूक केंद्र, पार्किंग श्रेणीत).",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1469372433
nimani-bus-stand,Nimani Bus Stand,निमाणी बस स्टैंड,निमाणी बस स्थानक,nimani|nimani bus station|nimani stand|panchavati bus stand|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,20.011676,73.796822,Panchavati,"City bus stand in Panchavati, closest to Ramkund.","पंचवटी में सिटी बस स्टैंड, रामकुंड के सबसे पास (परिवहन केंद्र, पार्किंग श्रेणी में)।","पंचवटीतील शहर बस स्थानक, रामकुंडाजवळ (वाहतूक केंद्र, पार्किंग श्रेणीत).",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/229989219
mela-bus-stand,Mela Bus Stand,मेला बस स्टैंड,मेळा बस स्थानक,mela bus stand|mela stand|mela bus station|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,19.999883,73.780784,City,Bus stand next to Thakkar Bazar.,"ठक्कर बाज़ार के पास बस स्टैंड (परिवहन केंद्र, पार्किंग श्रेणी में)।","ठक्कर बाजारजवळील बस स्थानक (वाहतूक केंद्र, पार्किंग श्रेणीत).",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466131667
trimbakeshwar-bus-depot,Trimbakeshwar Bus Depot,त्र्यंबकेश्वर बस डिपो,त्र्यंबकेश्वर बस डेपो,trimbak bus stand|trimbakeshwar bus stand|trimbak depot|trimbak st stand|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,19.938155,73.536349,Trimbakeshwar,MSRTC bus depot for Trimbakeshwar.,"त्र्यंबकेश्वर का एसटी बस डिपो (परिवहन केंद्र, पार्किंग श्रेणी में)।","त्र्यंबकेश्वरचे एसटी बस डेपो (वाहतूक केंद्र, पार्किंग श्रेणीत).",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/11907115857
tapovan-bus-depot,Tapovan Bus Depot,तपोवन बस डिपो,तपोवन बस डेपो,tapovan depot|tapovan bus stand|tapovan city bus|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,20.008274,73.814387,Tapovan,City bus depot at Tapovan.,"तपोवन में सिटी बस डिपो (परिवहन केंद्र, पार्किंग श्रेणी में)।","तपोवन येथील शहर बस डेपो (वाहतूक केंद्र, पार्किंग श्रेणीत).",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13447638414
nashik-airport-ozar,Nashik Airport (Ozar),नासिक हवाई अड्डा (ओझर),नाशिक विमानतळ (ओझर),ozar airport|ojhar airport|nashik airport|vimantal|hawai adda|airport|flight|plane|हवाई अड्डा|विमानतळ,transport,20.11302,73.89643,Ozar,A bus or train stop in Ozar. Check local timings before you travel.,ओझर में बस या ट्रेन का स्थान। यात्रा से पहले समय पता कर लें।,ओझर मधील बस किंवा रेल्वेचे ठिकाण. प्रवासापूर्वी वेळा तपासा.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1183562361
devlali-railway-station,Devlali Railway Station,देवलाली रेलवे स्टेशन,देवळाली रेल्वे स्थानक,devlali station|deolali station|devlali railway|railway station|train station|train|railway|station|rail|ट्रेन|रेलवे स्टेशन|रेल्वे स्थानक,transport,19.89655,73.83674,Devlali,A bus or train stop in Devlali. Check local timings before you travel.,देवलाली में बस या ट्रेन का स्थान। यात्रा से पहले समय पता कर लें।,देवळाली मधील बस किंवा रेल्वेचे ठिकाण. प्रवासापूर्वी वेळा तपासा.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/6171526043
odha-railway-station,Odha Railway Station,ओढा रेलवे स्टेशन,ओढा रेल्वे स्थानक,odha station|odha railway|railway station|train station|train|railway|station|rail|ट्रेन|रेलवे स्टेशन|रेल्वे स्थानक,transport,20.01780,73.91324,Odha,A bus or train stop in Odha. Check local timings before you travel.,ओढा में बस या ट्रेन का स्थान। यात्रा से पहले समय पता कर लें।,ओढा मधील बस किंवा रेल्वेचे ठिकाण. प्रवासापूर्वी वेळा तपासा.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/794350278
satpur-bus-stand,Satpur Bus Stand,सातपुर बस स्टैंड,सातपूर बस स्थानक,satpur bus|satpur st stand|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,19.99106,73.73154,Satpur,A bus or train stop in Satpur. Check local timings before you travel.,सातपुर में बस या ट्रेन का स्थान। यात्रा से पहले समय पता कर लें।,सातपूर मधील बस किंवा रेल्वेचे ठिकाण. प्रवासापूर्वी वेळा तपासा.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466135608
private-bus-stand-city,Private Bus Stand,प्राइवेट बस स्टैंड,खाजगी बस स्थानक,private bus|travels bus|luxury bus|khajgi bus|bus stand|bus station|st stand|st bus|msrtc|bus|बस स्टैंड|बस स्थानक|एसटी स्टँड,transport,19.98944,73.78248,City,A bus or train stop in City. Check local timings before you travel.,नासिक शहर में बस या ट्रेन का स्थान। यात्रा से पहले समय पता कर लें।,नाशिक शहर मधील बस किंवा रेल्वेचे ठिकाण. प्रवासापूर्वी वेळा तपासा.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/230102072
indra-kund-trimbak,Indra Kund,इंद्र कुंड,इंद्र कुंड,indrakund|indra kunda,ghat,19.93244,73.52861,Trimbakeshwar,A sacred kund in Trimbakeshwar where pilgrims bathe.,त्र्यंबकेश्वर में पवित्र कुंड जहाँ श्रद्धालु स्नान करते हैं।,त्र्यंबकेश्वर मधील पवित्र कुंड जिथे भाविक स्नान करतात.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/199009723
ahilyaram-mandir,Shree Ahilyaram Mandir,श्री अहिल्याराम मंदिर,श्री अहिल्याराम मंदिर,ahilyaram|ahilya ram mandir,temple,20.00762,73.79272,Panchavati,A temple in Panchavati.,पंचवटी में स्थित एक मंदिर।,पंचवटी मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/229991258
rameshwar-mandir-panchavati,Rameshwar Mandir,रामेश्वर मंदिर,रामेश्वर मंदिर,rameshwara temple|rameshwar,temple,20.00576,73.79329,Panchavati,A temple in Panchavati.,पंचवटी में स्थित एक मंदिर।,पंचवटी मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/229991259
dakshinmukhi-hanuman-ramkund,Dakshinmukhi Hanuman Mandir,दक्षिणमुखी हनुमान मंदिर,दक्षिणमुखी हनुमान मंदिर,dakshinabhimukhi hanuman|prachin hanuman|hanuman mandir ramkund,temple,20.00628,73.79377,Panchavati,A temple in Panchavati.,पंचवटी में स्थित एक मंदिर।,पंचवटी मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13474286805
navshya-maruti,Navshya Maruti Devasthan,नवश्या मारुति देवस्थान,नवश्या मारुती देवस्थान,navthya maruti|navsha maruti,temple,20.00893,73.78962,Panchavati,A temple in Panchavati.,पंचवटी में स्थित एक मंदिर।,पंचवटी मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1470366104
birla-mandir-nashik,Birla Mandir,बिड़ला मंदिर,बिर्ला मंदिर,birla temple|birla mandir nashik road,temple,19.96051,73.82986,Nashik Road,A temple in Nashik Road.,नासिक रोड में स्थित एक मंदिर।,नाशिक रोड मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/4089425184
adi-tryambakeshwar-mandir,Shri Adi Tryambakeshwar Mandir,श्री आदि त्र्यंबकेश्वर मंदिर,श्री आदि त्र्यंबकेश्वर मंदिर,adi trimbakeshwar|aadi tryambakeshwar,temple,19.93204,73.53193,Trimbakeshwar,A temple in Trimbakeshwar.,त्र्यंबकेश्वर में स्थित एक मंदिर।,त्र्यंबकेश्वर मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1097756723
gorakshanath-math-trimbak,Shri Guru Gorakshanath Math,श्री गुरु गोरक्षनाथ मठ,श्री गुरु गोरक्षनाथ मठ,gorakhnath math|gorakshanath|nath math,temple,19.93187,73.53260,Trimbakeshwar,A temple in Trimbakeshwar.,त्र्यंबकेश्वर में स्थित एक मंदिर।,त्र्यंबकेश्वर मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1533200246
gayatri-mata-mandir-trimbak,Gayatri Mata Mandir,गायत्री माता मंदिर,गायत्री माता मंदिर,gayatri mandir trimbak,temple,19.93183,73.53040,Trimbakeshwar,A temple in Trimbakeshwar.,त्र्यंबकेश्वर में स्थित एक मंदिर।,त्र्यंबकेश्वर मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483206110
annapurna-mandir-trimbak,Annapurna Mandir,अन्नपूर्णा मंदिर,अन्नपूर्णा मंदिर,annapurna temple trimbak,temple,19.93721,73.53054,Trimbakeshwar,A temple in Trimbakeshwar.,त्र्यंबकेश्वर में स्थित एक मंदिर।,त्र्यंबकेश्वर मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483164960
gomukh-mandir-trimbak,Gomukh Mandir,गोमुख मंदिर,गोमुख मंदिर,gomukh temple|gaumukh,temple,19.91563,73.51805,Trimbakeshwar,A temple in Trimbakeshwar.,त्र्यंबकेश्वर में स्थित एक मंदिर।,त्र्यंबकेश्वर मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/6243709265
gautam-ahilya-rishi-mandir,Gautam Ahilya Rishi Mandir,गौतम अहिल्या ऋषि मंदिर,गौतम अहिल्या ऋषी मंदिर,gautam rishi temple|ahilya rishi,temple,19.90675,73.50961,Trimbakeshwar,A temple in Trimbakeshwar.,त्र्यंबकेश्वर में स्थित एक मंदिर।,त्र्यंबकेश्वर मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/12876659958
gurudwara-guru-nanak-devlali,Gurudwara Shri Guru Nanak Devji,गुरुद्वारा श्री गुरु नानक देवजी,गुरुद्वारा श्री गुरु नानक देवजी,gurudwara|gurdwara devlali|sikh temple,temple,19.90386,73.82766,Devlali,A temple in Devlali.,देवलाली में स्थित एक मंदिर।,देवळाली मधील एक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/relation/20317740
six-sigma-hospital,Six Sigma Multispeciality and Accident Hospital,सिक्स सिग्मा मल्टीस्पेशियलिटी अस्पताल,सिक्स सिग्मा मल्टीस्पेशालिटी रुग्णालय,six sigma|accident hospital,hospital,20.00032,73.75462,Gangapur Road,A hospital in Gangapur Road.,गंगापुर रोड में एक अस्पताल।,गंगापूर रोड मधील एक रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/7649608323
surana-hospital-nashik-road,Surana Hospital,सुराणा अस्पताल,सुराणा रुग्णालय,surana hospital,hospital,19.94767,73.83470,Nashik Road,A hospital in Nashik Road.,नासिक रोड में एक अस्पताल।,नाशिक रोड मधील एक रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/7053694059
sushrut-hospital,Sushrut Hospital,सुश्रुत अस्पताल,सुश्रुत रुग्णालय,sushrut,hospital,20.00278,73.77527,City,A hospital in City.,नासिक शहर में एक अस्पताल।,नाशिक शहर मधील एक रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/7045823769
lele-hospital,Lele Hospital,लेले अस्पताल,लेले रुग्णालय,lele hospital,hospital,20.00092,73.77245,City,A hospital in City.,नासिक शहर में एक अस्पताल।,नाशिक शहर मधील एक रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/7043617930
arihant-hospital,Arihant Hospital,अरिहंत अस्पताल,अरिहंत रुग्णालय,arihant hospital,hospital,19.98859,73.78464,City,A hospital in City.,नासिक शहर में एक अस्पताल।,नाशिक शहर मधील एक रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/7042991453
ashoknagar-police-station,Ashoknagar Police Station,अशोकनगर पुलिस स्टेशन,अशोकनगर पोलीस ठाणे,ashok nagar police|satpur police,police,19.98938,73.71381,Satpur,A police station serving Satpur.,सातपुर क्षेत्र का पुलिस स्टेशन।,सातपूर भागाचे पोलीस ठाणे.,,,true,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/3348298397
nehru-nagar-police-station,Nehru Nagar Police Station,नेहरू नगर पुलिस स्टेशन,नेहरू नगर पोलीस ठाणे,nehru nagar police,police,19.96852,73.82533,Nashik Road,A police station serving Nashik Road.,नासिक रोड क्षेत्र का पुलिस स्टेशन।,नाशिक रोड भागाचे पोलीस ठाणे.,,,true,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/4358922473
yogeshwar-medical,Yogeshwar Medical,योगेश्वर मेडिकल,योगेश्वर मेडिकल,yogeshwar medical store,chemist,19.96147,73.74474,Ambad,A medical store in Ambad.,अंबड में एक दवा की दुकान।,अंबड मधील औषध दुकान.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13546500312
